Content,Class,LS1_FCJ,LS1_GETJ,LS1_SJJ,LS1_BMJ,LS1_FWXJ,LS1_STJ,LS1_JXFJ,LS2_FCJ,LS2_GETJ,LS2_SJJ,LS2_BMJ,LS2_FWXJ,LS2_STJ,LS2_JXFJ,LS3_FCJ,LS3_GETJ,LS3_SJJ,LS3_BMJ,LS3_FWXJ,LS3_STJ,LS3_JXFJ,LS4_FCJ,LS4_GETJ,LS4_SJJ,LS4_BMJ,LS4_FWXJ,LS4_STJ,LS4_JXFJ,LS5_FCJ,LS5_GETJ,LS5_SJJ,LS5_BMJ,LS5_FWXJ,LS5_STJ,LS5_JXFJ,LS6_FCJ,LS6_GETJ,LS6_SJJ,LS6_BMJ,LS6_FWXJ,LS6_STJ,LS6_JXFJ,MG1_FCJ,MG1_GETJ,MG1_SJJ,MG1_BMJ,MG1_FWXJ,MG1_STJ,MG1_JXFJ,MG2_FCJ,MG2_GETJ,MG2_SJJ,MG2_BMJ,MG2_FWXJ,MG2_STJ,MG2_JXFJ,MG3_FCJ,MG3_GETJ,MG3_SJJ,MG3_BMJ,MG3_FWXJ,MG3_STJ,MG3_JXFJ,MG4_FCJ,MG4_GETJ,MG4_SJJ,MG4_BMJ,MG4_FWXJ,MG4_STJ,MG4_JXFJ,MG5_FCJ,MG5_GETJ,MG5_SJJ,MG5_BMJ,MG5_FWXJ,MG5_STJ,MG5_JXFJ,MG6_FCJ,MG6_GETJ,MG6_SJJ,MG6_BMJ,MG6_FWXJ,MG6_STJ,MG6_JXFJ
C20:1_N9,unsaturated,0.320723085,-0.541266205,-0.089648509,-0.924539532,0.067433349,-0.21653324,-1.056829562,-0.028338476,0.544648352,-0.138713459,0.606342132,1.206213399,-0.551732505,0.804417695,-0.056895002,0.958684974,-1.088080676,0.540170437,1.448739953,0.849817711,1.01836612,1.111313621,5.334561912,1.518677112,-0.671821448,1.96922762,3.216207153,11.03802591,0.735934118,1.461614237,1.383514971,1.590029966,10.89544423,-0.733247306,4.024626336,0.667094983,2.972120663,4.562289517,2.080060779,11.12351779,3.078112742,1.844794395,4.88921707,2.149457045,3.924245266,2.703945043,3.887031866,4.092416581,5.674175932,3.805340548,3.327529835,5.102290873,2.837447494,4.084308382,3.358254518,5.126377682,2.677834432,2.58328858,2.913608517,3.10729878,5.234724866,4.273261531,5.907538738,-0.004128184,3.673305255,5.528934844,4.142282289,5.001345127,4.640126161,6.523397728,0.891950348,1.764542164,0.892972516,0.27530064,0.179198721,-0.065214378,0.236260581,2.841719684,2.688200808,3.282642695,2.016883066,-0.637834888,3.41267849,2.115966378
C20:0,saturated,0.30096748,0.259453612,0.309588947,0.244900655,0.412609993,0.449212358,0.37775106,0.56170255,1.941140562,0.764997235,1.323168678,2.432916148,0.488674747,3.499048608,0.348624422,0.430378799,0.411228132,0.428781866,0.606768623,0.64110628,0.606819598,0.55173054,0.426034037,0.716248115,0.761195081,0.566451971,0.593907252,0.464855833,0.522973798,0.690375732,0.540613132,0.511968791,3.028349117,0.71494566,1.906273778,0.631497869,0.470349212,0.342232865,0.463186635,1.003498039,0.814776573,0.861136994,2.173482595,2.066880445,1.163980302,1.422865918,4.386872686,0.95439488,2.068310922,2.443471303,1.030549982,0.492172865,0.483585087,0.796267113,1.064025936,1.826863439,0.571056081,0.594286241,0.600694624,0.54220255,0.955288257,0.576849816,0.918816911,0.806606331,0.642606231,0.56687613,0.6976506,0.767532424,0.783810419,0.4467329,1.190654959,1.890104239,3.566975513,4.659115847,1.600761871,0.516126549,1.628446734,0.595161852,0.921965287,0.682656721,0.656389408,1.52784349,0.69242635,0.769452843
C20:2,unsaturated,0.293623572,0.240356923,0.772007239,0.242380358,0.277680064,0.283168283,0.193496552,0.34372739,0.299528881,0.410966249,0.321694415,0.312615369,0.328464035,0.34520925,0.221310553,0.23407378,0.21887439,0.256156161,0.237455886,0.488930132,0.568851109,0.328278469,0.236456878,0.164912388,0.302136478,0.227186951,0.462346497,0.690879743,0.395809481,0.429408417,0.257076356,0.228797932,0.641073826,0.546717519,0.290055016,0.904913004,1.078140644,1.090538302,1.325975303,0.561336942,0.546632789,0.69291988,1.802810817,3.345406676,4.847226135,1.170846439,4.757928223,3.693823381,5.345410046,0.771413102,1.75262694,0.49331537,0.533804973,1.62460444,2.792834432,2.052088006,1.457019331,1.554107414,0.938231662,1.13898056,2.792999618,0.730215236,2.225713489,0.641976991,1.339194931,0.702021967,1.076441709,0.971181867,3.052730562,0.663732761,4.701648185,0.603422321,0.38275507,0.491003597,0.379602998,0.309880784,0.452805612,0.309773017,0.833579329,0.723130256,0.556742499,0.817407217,1.61841825,0.941677177
C21:0,saturated,0.635870438,0.556123853,0.440644034,0.303282799,0.349347666,0.369237191,0.381330499,5.619398449,3.119248036,2.153437585,3.639656437,3.179794529,3.141036801,4.943194,0.313365207,0.344596357,0.37740219,0.384872102,1.57850576,0.765501756,0.861295095,0.669956618,0.603701459,0.732204801,0.592481904,0.423135982,0.601139618,0.661648014,0.637846841,0.821496972,0.65231055,0.601884414,0.727716133,0.751085722,0.526211118,0.780015404,0.806897173,0.578682816,0.95727235,0.816119455,0.728452483,0.875675921,1.54124699,1.519633255,0.876849078,1.722263084,1.052899175,0.968070282,0.896260369,1.249182699,0.957684089,0.837433775,0.562553071,1.442579852,0.974613882,0.885708722,1.054599981,0.879921932,1.087643198,0.762416772,1.13953058,0.699863257,0.915519457,0.863844813,0.607005741,0.673306786,0.696801639,1.058386924,1.029881279,0.438171368,2.397469787,3.830574345,5.628510518,7.149974145,4.326046536,5.63831605,5.228441724,1.04647573,1.193525385,0.590843644,0.89503163,0.987713731,1.394141805,0.636529793
C20:3_N6,unsaturated,0.286756326,0.281305207,0.287177201,0.280230839,0.293153087,0.288352807,0.289300246,0.340349941,0.352144819,0.32689263,0.334403835,0.321227763,0.31913204,0.342268337,0.287364653,0.283205306,0.291021417,0.292665879,0.284900598,0.291165773,0.280901355,0.281170461,0.283205306,0.275194655,0.287975567,0.269261559,0.280991,0.279164647,0.289538079,0.279253187,0.281395109,0.28642983,0.291503161,0.287177201,0.277974837,0.274636712,0.289776303,0.286150568,0.277100015,0.290397526,0.286197074,0.289205222,0.286383249,0.287317767,0.286803029,0.291551423,0.284073334,0.293495099,0.264053171,0.292617247,0.281125574,0.292228775,0.293495099,0.293495099,0.289776303,0.290877204,0.292083363,0.288683704,0.292228775,0.285779064,0.293495099,0.286569666,0.280453989,0.290781142,0.293495099,0.290397526,0.285316039,0.290397526,0.290206097,0.291021417,0.347262985,0.350860848,0.334150018,0.348155515,0.346375019,0.345627202,0.343671076,0.290829165,0.292277277,0.29001492,0.290110477,0.29126209,0.290781142,0.292471449
C20:4_N6,unsaturated,0.67865693,0.508666598,0.540028329,0.487132761,0.562489307,0.51086374,0.551195355,0.37937629,0.313366977,0.200722441,0.219255124,0.232447098,0.350199346,0.258635157,0.252900397,0.100981082,0.125392141,0.440550701,0.301601269,0.363724517,0.440562375,0.377030722,0.832711088,0.45157671,0.308555461,0.671697067,1.013203577,1.56277658,0.501922658,0.435235327,0.869285839,0.522381736,2.049800824,0.619648664,0.950278385,0.515278113,0.88092835,1.134413205,0.89122333,1.182663378,0.490385816,0.467855215,17.89837286,21.70894103,19.4406199,16.86156932,17.75400786,25.0046799,16.58489166,9.826380088,11.62577407,7.650766558,7.665668289,6.680082366,11.80331632,7.99524608,14.07694459,17.59333706,10.08592741,11.01848736,15.42259453,10.39839929,11.35773933,8.779208233,11.68101835,5.778867915,8.820965621,5.440551316,18.49823429,2.753746144,0.417381245,0.487337121,0.432098282,0.336358639,0.137028021,0.270432698,0.209808879,6.257688399,6.516045244,6.785245437,7.707153825,2.127692975,12.0250741,3.191982311
C20:3_N3,unsaturated,4.596941323,2.815416072,4.265590574,3.028275881,3.289640697,5.924430674,3.25498087,4.151773219,5.834709245,8.929903955,12.10223301,6.268118066,5.000248533,8.203422218,5.982409384,4.644937932,4.329470928,5.559086275,6.504207182,4.795824158,6.772430745,5.649390511,6.988051968,5.923352464,5.231877844,3.928011045,6.9474242,7.281440678,2.800937637,4.617289367,5.717833414,3.788138895,6.290754634,5.896336089,3.338874247,6.8659592,6.92404211,4.472333793,6.219692647,4.473480255,9.278806069,6.27447455,1.531909641,1.538766012,1.252078795,1.638007551,1.247092145,1.383369671,1.563377895,1.855451378,1.20929003,1.300361299,1.261603783,1.692210205,1.206736958,1.9026423,1.859966617,1.465293014,1.464866984,1.457966003,1.254443717,1.253681685,1.129429565,1.451944159,1.233858524,1.353369534,0.890600023,1.237661956,0.961617749,1.312001496,5.785156834,5.737533206,8.663195203,12.69926618,1.96422999,8.003335144,0.861023194,1.725484473,1.579828648,1.206846252,1.348758429,1.231576505,1.679479639,1.333058539
C20:5,unsaturated,0.190686129,0.187061264,0.190966001,0.186346836,0.194939823,0.191747751,0.192377775,0.226324607,0.23416792,0.217375815,0.222370588,0.213608813,0.212215208,0.227600294,0.191090652,0.188324785,0.193522313,0.194615841,0.189452114,0.193618306,0.186792713,0.186971661,0.188324785,0.182997893,0.191496895,0.179052525,0.186852324,0.185637843,0.192535928,0.18569672,0.187121047,0.190469017,0.193842661,0.190966001,0.184846648,0.182626874,0.192694342,0.190283314,0.184264912,0.19310744,0.190314239,0.192314586,0.190438041,0.191059474,0.190717185,0.193874754,0.188902003,0.195167253,0.175589071,0.194583502,0.186941813,0.194325177,0.195167253,0.195167253,0.192694342,0.193426415,0.194228482,0.191967789,0.194325177,0.190036273,0.195167253,0.190562004,0.186495225,0.193362536,0.195167253,0.19310744,0.189728373,0.19310744,0.192980144,0.193522313,0.230921616,0.233314109,0.222201806,0.231515128,0.23033114,0.22983386,0.228533083,0.19339447,0.19435743,0.192853016,0.192916559,0.193682354,0.193362536,0.19448655
C22:1,unsaturated,0.436339001,0.368663202,0.489574765,0.430163692,0.412018867,0.491688839,0.370604743,0.3780487,0.372132664,0.398723263,0.370683172,0.394448281,0.497055889,0.429126975,0.365755205,0.351726894,0.312541233,0.453370042,0.402887947,0.530346995,0.424145228,0.439149648,0.44572848,0.366477247,0.534959712,0.635168359,0.640663788,0.536436467,0.420368444,0.488892618,0.698235507,0.620783938,0.940558289,0.536576597,0.556768492,0.558856579,0.814401997,0.891289785,0.609717115,2.167283657,0.964658879,0.568645539,0.51846903,0.347179575,0.568687645,0.877121799,0.755788975,0.741786539,0.7872045,0.88298415,0.940163613,0.706758018,0.465636654,0.736458888,0.611404223,0.842532639,0.820399856,0.734866416,0.766877539,0.861485064,0.854555141,0.761563581,0.569674239,0.608245964,0.858106908,0.692664851,0.521716132,0.593386404,0.827418892,0.791883799,0.557348307,0.399509886,0.395079556,0.367413654,0.456907858,0.469259875,0.369582672,0.815117329,0.805027887,0.65753315,0.641951166,0.777558519,0.711174483,0.747162944
C22:2,unsaturated,0.156727263,0.046194688,0.198521425,0.06978889,0.114234294,0.043919643,0.069658712,0.059039412,0.072765749,0.059977926,0.092904814,0.076772118,0.078253168,0.088459054,0.092840752,0.061751128,0.104194043,0.141664285,0.240842019,0.103571377,0.150813935,0.10055523,0.129477464,0.186839339,0.090063595,0.257687756,0.113041771,0.119149003,0.07999466,0.082487797,0.282125518,0.103785864,0.229745545,0.088533835,0.09084882,0.240725967,0.099530665,0.19380993,0.159730753,0.131413855,0.125761288,0.054298788,0.992039633,0.830768265,0.853911995,0.70028233,0.853917293,0.425155119,0.675810519,0.563781767,1.561342304,1.112680968,0.613366081,1.142709411,1.244371823,0.84938757,1.120489163,0.665294895,0.834929027,0.891770188,1.739270941,1.025501433,1.52549667,0.477830835,0.483130817,0.964377219,0.504789954,0.736584669,0.880660341,0.949786176,0.127490565,0.188026142,0.056527095,0.062789115,0.036203427,0.052400512,0.053366352,1.082373998,1.204907165,0.342068906,0.847148657,0.541992603,1.281985167,0.410275514
C23:0,saturated,0.308694389,0.270166537,0.411515367,0.089889645,1.134466211,0.400044117,0.241041655,0.017819568,0.030769157,0.074629331,0.114669222,0.058250359,0.033636972,0.075683419,0.134030077,1.001005901,0.489180189,1.093477253,1.002903373,0.656850435,1.144659591,0.54530622,0.736076188,0.585428977,0.324378637,0.788512955,0.938683486,1.95363595,0.546254452,0.563156312,1.475883217,0.528097241,2.30383635,0.569895753,1.304936657,0.733834329,0.63844911,1.358377773,0.567274462,1.949588081,0.451994356,0.474115517,0.135211147,0.053349635,0.413050602,0.098157165,0.23079248,0.291780121,0.057143304,0.307342845,0.413233402,0.212315091,0.184144383,0.303416416,0.697852238,0.241125425,0.427410472,0.49587789,0.36100324,0.164196029,0.262689381,0.499821043,0.143530995,0.112308702,0.113356916,0.178363078,0.120567259,0.18795765,0.215639663,0.356627182,0.158469095,0.032001553,0.011603286,0.038359402,0.029021503,0.031948769,0.015687653,0.221867938,0.234560687,0.181960853,0.248157909,0.129816103,0.46969824,0.141950828
C24:0,saturated,0.31965333,0.189661682,0.175344612,0.603680365,0.331809751,0.08325787,0.437424616,0.104523957,0.17161367,0.064307287,0.237402011,0.316648618,0.060277103,0.338230463,0.469017671,0.403454418,0.198760219,0.102327096,0.019591645,0.188645545,0.19692725,0.677543978,0.082571816,0.295380404,0.028318482,0.254931135,0.460556219,0.924574275,0.645258628,0.684776406,0.296040891,0.218638847,0.319611884,0.379111651,0.66013745,0.467687232,0.298051265,0.19275916,0.320182457,0.18033667,0.29650586,0.382932941,0.670913567,0.464619684,0.031264405,0.421745552,0.186750946,0.462832109,0.180653278,0.359686596,0.313599403,0.424679726,0.048677847,0.50012562,0.511230181,0.515117725,0.787796175,0.517025148,0.430542769,0.808061126,0.347025941,0.551568978,0.178744772,0.392433637,0.574712644,0.364726505,0.386966138,0.314231888,0.366426899,0.399569864,0.185684135,0.307702269,0.319384122,0.333253861,0.210788877,0.045835134,0.164076742,0.483912854,0.429636892,0.275027042,0.303250284,0.174919861,0.820260198,0.372221188
C24:1,unsaturated,1.043220382,0.325789703,1.239205889,1.081281871,2.307887046,2.129606435,1.569105447,0.230379872,0.149939538,0.145134853,0.176521756,0.152197716,0.168750642,0.157957911,0.430227007,0.775698272,0.515350256,0.290389949,0.241251515,0.445194996,0.251423968,0.784535662,1.21611671,0.780964516,0.753206044,1.32826946,1.421937602,2.704586001,0.549141054,0.501606423,0.82654594,0.778870271,2.164382856,1.037411476,0.83585068,0.683828389,0.770782125,0.873570548,0.864500705,0.744493818,1.061583923,0.550079977,0.582432402,0.259703547,0.148011045,0.198538034,0.320963672,0.376420989,0.346723701,0.294874725,0.299605285,0.442617255,0.313684158,0.366562344,0.392003804,0.252261931,0.455775953,0.724632443,0.703190317,0.822935487,0.456186389,0.196895787,0.518988737,0.314335323,0.762700623,0.190658011,0.501848185,0.386636712,0.475001531,0.364361512,0.255993208,0.371351043,0.216071158,0.162381972,0.189246213,0.259433378,0.162737641,0.317939635,0.390031944,0.218746434,0.364106911,0.294398534,0.328542569,0.263468792
C22:6,unsaturated,0.360137591,0.123407405,0.386442098,0.394267679,0.414716579,0.467904082,0.40258728,0.127477277,0.106469648,0.13111459,0.103089864,0.200783299,0.098694625,0.097864294,0.264082863,0.131985597,0.192413454,0.180889075,0.199708264,0.173110182,0.415053554,0.23273783,0.277700305,0.189243846,0.21595633,0.255897749,0.284008431,0.174954133,0.245112928,0.135919239,0.394367264,0.264849897,0.229310427,0.317791681,0.168477649,0.292145346,0.203969006,0.250984441,0.290771464,0.22826353,0.221043902,0.156103436,0.755163257,0.299658633,0.107232338,0.191241593,0.381057897,0.314764537,0.281456925,0.20153775,0.303342627,0.296154712,0.254121828,0.221394017,0.338337438,0.129743553,0.410003704,0.580390018,0.945011476,1.134104233,0.530383059,0.093422996,0.308136836,0.122071252,0.366744002,0.115243243,0.324707898,0.358111236,0.222720186,0.253888938,0.207486206,0.325259738,0.21556409,0.220956687,0.141027073,0.125182603,0.096069471,0.187906314,0.206096541,0.195940744,0.262609048,0.186275511,0.215532054,0.235010222
